Reference, Value, Footprint, Datasheet, MPN,MPN,count,
R25,100,Resistors_SMD:R_0201,,AC0201JR-07100RL, ,, 
R26,100,Resistors_SMD:R_0201,,AC0201JR-07100RL, ,,
R32,100,Resistors_SMD:R_0201,,AC0201JR-07100RL, ,,
R33,100,Resistors_SMD:R_0201,,AC0201JR-07100RL,AC0201JR-07100RL,4,
U2,AZ1117C,TO_SOT_Packages_SMD:SOT89-3_Housing,,AZ1117CR-3.3TRG1,AZ1117CR-3.3TRG1,1,
Q1,BUK7K13-60E,hlib:SOT-1205,,BUK7K13-60EX, ,,
Q2,BUK7K13-60E,hlib:SOT-1205,,BUK7K13-60EX, ,,
Q3,BUK7K13-60E,hlib:SOT-1205,,BUK7K13-60EX,BUK7K13-60EX,3,
C20,22n,Capacitors_SMD:C_0603,,C0603C223K1RACTU,C0603C223K1RACTU,1,
C21,10u,Capacitors_SMD:C_0805,,C0805C106K8PACTU,C0805C106K8PACTU,1,
C22,2.2u,Capacitors_SMD:C_0603,,CC0603MRX5R7BB225,CC0603MRX5R7BB225,1,
C2,0.1u,Capacitors_SMD:C_0402,,CL05A104KP5NNNC, ,,
C9,0.1u,Capacitors_SMD:C_0402,,CL05A104KP5NNNC,CL05A104KP5NNNC,2,
C12,0.1u,Capacitors_SMD:C_0402,,CL05B104KO5NNNC, ,,
C14,0.1u,Capacitors_SMD:C_0402,,CL05B104KO5NNNC, ,,
C36,0.1u,Capacitors_SMD:C_0402,,CL05B104KO5NNNC, ,,
C37,0.1u,Capacitors_SMD:C_0402,,CL05B104KO5NNNC,CL05B104KO5NNNC,4,
C4,4.7u,Capacitors_SMD:C_0603,,CL10B475KQ8NQNC,CL10B475KQ8NQNC,1,
C23,22u,Capacitors_SMD:C_0805,,CL21A226MQQNNNE,CL21A226MQQNNNE,1,
C18,4.7u,Capacitors_SMD:C_0805,,CL21A475KAQNNNG,CL21A475KAQNNNG,1,
C24,0.1u,Capacitors_SMD:C_0805,,CL21B104KCFNNNE, ,,
C29,0.1u,Capacitors_SMD:C_0805,,CL21B104KCFNNNE,CL21B104KCFNNNE,2,
R27,1m,hlib:R_shunt_4_terminal_2512,,CRE2512-FZ-R001E-3, ,,
R34,1m,hlib:R_shunt_4_terminal_2512,,CRE2512-FZ-R001E-3,CRE2512-FZ-R001E-3,2,
U3,DRV8301,crf1:TSSOP-56-PP,,DRV8301DCAR,DRV8301DCAR,1,
R18,15k,Resistors_SMD:R_0201,,ERJ-1GEJ153C,ERJ-1GEJ153C,1,
R16,18k,Resistors_SMD:R_0201,,ERJ-1GEJ183C,ERJ-1GEJ183C,1,
Y1,16MHz,hlib:Crystal_SMD_3225-4pin_3.2x2.5mm,,FA-238 16.0000MB-K3,FA-238 16.0000MB-K3,1,
C1,10p,Capacitors_SMD:C_0201,,GRM0335C1H100JA01D, ,,
C5,10p,Capacitors_SMD:C_0201,,GRM0335C1H100JA01D,GRM0335C1H100JA01D,2,
C19,120p,Capacitors_SMD:C_0201,,GRM0335C1H121JA01D,GRM0335C1H121JA01D,1,
C32,2.2n,Capacitors_SMD:C_0201,,GRM033R71A222KA01D, ,,
C33,2.2n,Capacitors_SMD:C_0201,,GRM033R71A222KA01D, ,,
C34,2.2n,Capacitors_SMD:C_0201,,GRM033R71A222KA01D, ,,
C35,2.2n,Capacitors_SMD:C_0201,,GRM033R71A222KA01D,GRM033R71A222KA01D,4,
C15,4.7n,Capacitors_SMD:C_0201,,GRM033R71A472KA01D,GRM033R71A472KA01D,1,
C17,6.8n,Capacitors_SMD:C_0201,,GRM033R71A682KA01D,GRM033R71A682KA01D,1,
C11,1u,Capacitors_SMD:C_0402,,GRM155R61A105KE15D,GRM155R61A105KE15D,1,
C16,2.2u,Capacitors_SMD:C_0402,,GRM155R61A225KE95D,GRM155R61A225KE95D,1,
C26,0.1u,Capacitors_SMD:C_0402,,GRM155R61E104KA87D, ,,
C27,0.1u,Capacitors_SMD:C_0402,,GRM155R61E104KA87D, ,,
C28,0.1u,Capacitors_SMD:C_0402,,GRM155R61E104KA87D,GRM155R61E104KA87D,3,
C13,4.7u,Capacitors_SMD:C_0603,,GRM188R60J475KE19D, ,,
C8,4.7u,Capacitors_SMD:C_0603,,GRM188R60J475KE19D,GRM188R60J475KE19D,2,
C3,0.1u,Capacitors_SMD:C_0402,,GRM188R71C104KA01D, ,,
C6,0.1u,Capacitors_SMD:C_0402,,GRM188R71C104KA01D, ,,
C7,0.1u,Capacitors_SMD:C_0402,,GRM188R71C104KA01D,GRM188R71C104KA01D,3,
C10,10n,Capacitors_SMD:C_0402,,GRM188R71H103KA01D,GRM188R71H103KA01D,1,
C31,100u,Capacitors_SMD:C_1206,,GRM31CR60J107ME39L,GRM31CR60J107ME39L,1,
C25,4.7u,Capacitors_SMD:C_1210,,HMK325C7475KN-TE, ,,
C30,4.7u,Capacitors_SMD:C_1210,,HMK325C7475KN-TE, ,,
C38,4.7u,Capacitors_SMD:C_1210,,HMK325C7475KN-TE,HMK325C7475KN-TE,3,
D1,LED-GREEN,LEDs:LED_0603,,LTST-C191KGKT,LTST-C191KGKT,1,
D2,LED-RED,LEDs:LED_0603,,LTST-C191KRKT,LTST-C191KRKT,1,
